,Unnamed: 0,Date,Close,Open,High,Low,Volume,Change,Kospi_Close,Kospi_Volume,Dow_Close,Dow_Volume,SP_Close,SSEC_Close,SSEC_Volume,EU_Close,EU_Volume,DE_Close,DE_Volume,FR_Close,FR_Volume,Gold_Close,Gold_Volume,Gas_Close,Gas_Volume,Oil_Close,oil_Volume,HG_Close,HG_Volume,JP_Close,JP_Volume,Bond_1m_Close,Bond_6m_Close,Bond_1y_Close,Bond_5y_Close,Bond_10y_Close,Bond_30y_Close,usd_krw_Close,usd_rub_Close,usd_eur_Close,VIX_Close
674,674,2019-12-26,0.0342,0.0334,0.0349,0.0333,328870000.0,0.0232,2197.93,571310000.0,28621.39,155970000.0,3239.91,3007.35,18240000000.0,3774.39,15420000.0,13300.98,56220000.0,6029.55,12440000.0,1514.4,216610.0,2.294,53810.0,61.68,265090.0,2.898,1140.0,23924.92,403420000.0,1.552,1.606,1.529,1.7189,1.894,2.321,1161.3,62.2138,0.9009,12.65
675,675,2019-12-27,0.0329,0.0342,0.0344,0.0316,510620000.0,-0.0368,2204.21,490170000.0,28645.26,184930000.0,3240.02,3005.04,24710000000.0,3782.27,24440000.0,13337.11,43760000.0,6037.39,47290000.0,1518.1,204990.0,2.158,8620.0,61.72,351900.0,2.8785,1810.0,23837.72,448490000.0,1.575,1.583,1.508,1.678,1.877,2.318,1158.95,62.0332,0.8946,13.43
676,676,2019-12-28,0.0337,0.0329,0.0342,0.0328,258970000.00000003,0.0233,2204.21,490170000.0,28645.26,184930000.0,3240.02,3005.04,24710000000.0,3782.27,24440000.0,13337.11,43760000.0,6037.39,47290000.0,1518.1,204990.0,2.158,8620.0,61.72,351900.0,2.8785,1810.0,23837.72,448490000.0,1.575,1.583,1.508,1.678,1.877,2.318,1158.95,62.0332,0.8946,13.43
677,677,2019-12-29,0.0341,0.0337,0.0346,0.0333,262250000.0,0.0141,2204.21,490170000.0,28645.26,184930000.0,3240.02,3005.04,24710000000.0,3782.27,24440000.0,13337.11,43760000.0,6037.39,47290000.0,1518.1,204990.0,2.158,8620.0,61.72,351900.0,2.8785,1810.0,23837.72,448490000.0,1.5829,1.5828,1.5076,1.6764,1.873,2.317,1158.95,62.0332,0.8946,13.43
678,678,2019-12-30,0.0334,0.0341,0.0344,0.0331,226840000.0,-0.0213,2197.67,416400000.0,28462.14,185070000.0,3221.29,3040.02,24810000000.0,3748.47,18680000.0,13249.01,31430000.0,5982.22,40320000.0,1518.6,178720.0,2.186,124330.0,61.68,427150.0,2.8825,2140.0,23656.62,415900000.0,1.509,1.585,1.521,1.6764,1.886,2.335,1156.97,61.9863,0.8928,14.82
679,679,2019-12-31,0.0328,0.0334,0.0338,0.0328,283850000.0,-0.0175,2197.67,416400000.0,28538.44,193340000.0,3230.78,3050.12,21740000000.0,3745.15,22070000.0,13249.01,31430000.0,5978.06,20670000.0,1523.1,220850.0,2.189,116890.0,61.06,494540.0,2.853,10.0,23656.62,415900000.0,1.478,1.583,1.582,1.6927,1.919,2.389,1154.07,61.9863,0.8917,13.78
680,680,2020-01-01,0.0335,0.0328,0.0338,0.0327,250860000.0,0.0194,2197.67,416400000.0,28538.44,193340000.0,3230.78,3050.12,21740000000.0,3745.15,22070000.0,13249.01,31430000.0,5978.06,20670000.0,1523.1,220850.0,2.189,116890.0,61.06,494540.0,2.853,10.0,23656.62,415900000.0,1.4859,1.5883,1.579,1.6927,1.921,2.389,1154.02,61.9863,0.8917,13.78
681,681,2020-01-02,0.0327,0.0335,0.0335,0.0323,216630000.0,-0.0233,2175.17,494680000.0,28868.8,254290000.0,3257.85,3085.2,29250000000.0,3793.24,29920000.0,13385.93,75340000.0,6041.5,63960000.0,1528.1,270550.0,2.122,164570.0,61.18,486870.0,2.8775,3310.0,23656.62,415900000.0,1.532,1.578,1.576,1.6665,1.877,2.328,1157.35,61.9863,0.8949,12.47
682,682,2020-01-03,0.0341,0.0327,0.0344,0.0324,341590000.0,0.0432,2176.46,631560000.0,28634.88,239590000.0,3234.85,3083.79,26150000000.0,3773.37,30340000.0,13219.14,80790000.0,6044.16,60490000.0,1552.4,436740.0,2.13,144670.0,63.05,885860.0,2.8395,2740.0,23656.62,415900000.0,1.524,1.547,1.542,1.5945,1.793,2.249,1164.95,62.0922,0.8958,14.02
683,683,2020-01-04,0.0344,0.0341,0.0345,0.0337,358200000.0,0.0079,2176.46,631560000.0,28634.88,239590000.0,3234.85,3083.79,26150000000.0,3773.37,30340000.0,13219.14,80790000.0,6044.16,60490000.0,1552.4,436740.0,2.13,144670.0,63.05,885860.0,2.8395,2740.0,23656.62,415900000.0,1.524,1.547,1.542,1.5945,1.793,2.249,1164.95,62.0922,0.8958,14.02
